Country Code,Name,Year,Labour_Force,Fertility_Rate,Continent
GRC,Greece,1995,35.09700012,1.28,Europe
GRC,Greece,2000,40.23600006,1.25,Europe
GRC,Greece,2005,42.02000046,1.34,Europe
GRC,Greece,2010,44.01399994,1.48,Europe
GRC,Greece,2015,44.67300034,1.33,Europe
GRC,Greece,2020,43.44100189,1.34,Europe
GTM,Guatemala,1990,39.63999939,5.437,North America
GTM,Guatemala,1995,40.64599991,5.087,North America
GTM,Guatemala,2000,41.77099991,4.598,North America
GTM,Guatemala,2005,42.15399933,3.971,North America
GTM,Guatemala,2010,40.70399857,3.375,North America
GTM,Guatemala,2015,38.70999908,3.029,North America
GTM,Guatemala,2020,36.27399826,2.777,North America
GUM,Guam,1990,59.50099945,3.013,Oceania
GUM,Guam,1995,59.78900146,2.872,Oceania
GUM,Guam,2000,60.09500122,2.824,Oceania
GUM,Guam,2005,54.84899902,2.636,Oceania
GUM,Guam,2010,56.49700165,2.488,Oceania
GUM,Guam,2015,56.37900162,2.383,Oceania
GUM,Guam,2020,53.54299927,2.275,Oceania
GUY,Guyana,1990,37.09600067,3.069,South America
GUY,Guyana,1995,38.15000153,3.074,South America
GUY,Guyana,2000,35.21099854,3.017,South America
GUY,Guyana,2005,35.49700165,2.84,South America
GUY,Guyana,2010,38.06499863,2.655,South America
GUY,Guyana,2015,40.54999924,2.534,South America
GUY,Guyana,2020,39.68899918,2.418,South America
HKG,"Hong Kong SAR, China",1990,46.6269989,1.272,Asia
HKG,"Hong Kong SAR, China",1995,47.5359993,1.295,Asia
HKG,"Hong Kong SAR, China",2000,48.97999954,1.032,Asia
HKG,"Hong Kong SAR, China",2005,51.91500092,0.959,Asia
HKG,"Hong Kong SAR, China",2010,51.90800095,1.127,Asia
HKG,"Hong Kong SAR, China",2015,54.72100067,1.196,Asia
HKG,"Hong Kong SAR, China",2020,54.1629982,0.868,Asia
HND,Honduras,1990,44.45199966,5.123,North America
HND,Honduras,1995,45.13700104,4.756,North America
HND,Honduras,2000,43.70100021,4.237,North America
HND,Honduras,2005,41.64899826,3.545,North America
HND,Honduras,2010,42.86000061,2.957,North America
HND,Honduras,2015,46.71500015,2.581,North America
HND,Honduras,2020,41.34000015,2.394,North America
HRV,Croatia,1990,45.74000168,1.63,Europe
HRV,Croatia,1995,45.03699875,1.58,Europe
HRV,Croatia,2000,43.90499878,1.39,Europe
HRV,Croatia,2005,42.54499817,1.5,Europe
HRV,Croatia,2010,46.14599991,1.46,Europe
HRV,Croatia,2015,46.90200043,1.41,Europe
HRV,Croatia,2020,44.70299911,1.48,Europe
HTI,Haiti,1990,56.82300186,5.43,North America
HTI,Haiti,1995,57.20500183,4.884,North America
HTI,Haiti,2000,56.94499969,4.344,North America
HTI,Haiti,2005,58.49599838,3.836,North America
HTI,Haiti,2010,60.67699814,3.427,North America
HTI,Haiti,2015,62.20199966,3.098,North America
HTI,Haiti,2020,60.17300034,2.842,North America
HUN,Hungary,1990,46.52500153,1.87,Europe
HUN,Hungary,1995,40.61199951,1.57,Europe
HUN,Hungary,2000,41.67900085,1.32,Europe
HUN,Hungary,2005,43.0530014,1.31,Europe
HUN,Hungary,2010,43.76100159,1.25,Europe
HUN,Hungary,2015,47.36999893,1.45,Europe
HUN,Hungary,2020,48.54499817,1.56,Europe
IDN,Indonesia,1990,50.37099838,3.122,Asia
IDN,Indonesia,1995,50.62099838,2.688,Asia
IDN,Indonesia,2000,51.63100052,2.512,Asia
IDN,Indonesia,2005,46.0340004,2.514,Asia
IDN,Indonesia,2010,50.92300034,2.483,Asia
IDN,Indonesia,2015,50.73500061,2.389,Asia
IDN,Indonesia,2020,53.17599869,2.266,Asia
IND,India,1990,30.44300079,4.045,Asia
IND,India,1995,30.65600014,3.651,Asia
IND,India,2000,30.47699928,3.311,Asia
IND,India,2005,31.95499992,2.972,Asia
IND,India,2010,25.96500015,2.581,Asia
IND,India,2015,21.77499962,2.295,Asia
IND,India,2020,18.60300064,2.184,Asia
IRL,Ireland,1990,38.39899826,2.11,Europe
IRL,Ireland,1995,42.10599899,1.84,Europe
IRL,Ireland,2000,50.08100128,1.89,Europe
IRL,Ireland,2005,54.54800034,1.86,Europe
IRL,Ireland,2010,55.24300003,2.05,Europe
IRL,Ireland,2015,54.85200119,1.85,Europe
IRL,Ireland,2020,55.08800125,1.63,Europe
IRN,"Iran, Islamic Rep.",1990,10,4.691,Asia
IRN,"Iran, Islamic Rep.",1995,10.47099972,2.941,Asia
IRN,"Iran, Islamic Rep.",2000,13.78999996,2.067,Asia
IRN,"Iran, Islamic Rep.",2005,18.64500046,1.825,Asia
